weight_lbs,weight_kgs,cals,calc
1,0.453592,38,0.0263157894736842
2,0.907184,65,0.0307692307692308
3,1.360776,88,0.0340909090909091
4,1.814368,109,0.036697247706422
5,2.26796,129,0.0387596899224806
6,2.721552,147,0.0408163265306122
7,3.175144,166,0.0421686746987952
8,3.628736,183,0.0437158469945355
9,4.082328,200,0.045
10,4.53592,216,0.0462962962962963
11,4.989512,232,0.0474137931034483
12,5.443104,248,0.0483870967741935
13,5.896696,263,0.0494296577946768
14,6.350288,278,0.0503597122302158
15,6.80388,293,0.0511945392491468
16,7.257472,308,0.0519480519480519
17,7.711064,322,0.0527950310559006
18,8.164656,336,0.0535714285714286
19,8.618248,350,0.0542857142857143
20,9.07184,364,0.0549450549450549
21,9.525432,377,0.0557029177718833
22,9.979024,391,0.0562659846547315
23,10.432616,404,0.0569306930693069
24,10.886208,417,0.0575539568345324
25,11.3398,430,0.0581395348837209
